class,knowledge_questions,generated_knowledge,vlm_reasoning_questions
image,"[""What are the superclasses of Image in a medical imaging ontology?"", ""Which modalities can be used to acquire medical Images?"", ""What types of data or information do Images represent in medicine?"", ""How are Images used in clinical decision-making or diagnosis?"", ""What structural or spatial features characterize medical Images?"", ""What processing or analysis techniques are commonly applied to medical Images?"", ""What metadata or annotations are typically associated with medical Images?"", ""What ethical or privacy considerations apply to the use of medical Images?""]","[""The Image is classified under the superclasses [Medical Representation, Digital Data]."", ""Medical Images can be acquired using modalities such as [X-ray, CT, MRI, Ultrasound]."", ""Medical Images represent types of data including [Anatomical Structures, Pathological Features, Radiological Signs]."", ""Images are utilized in clinical decision-making for tasks like [Diagnosis, Treatment Planning, Monitoring]."", ""Medical Images are characterized by spatial or structural features such as [Resolution, Pixel Size, Image Orientation]."", ""Processing techniques commonly applied to medical Images include [Image Filtering, Segmentation, Registration]."", ""Metadata or annotations typically associated with medical Images include [Patient Information, Acquisition Parameters, Diagnostic Annotations]."", ""Ethical considerations regarding medical Images involve [Patient Privacy, Data Security, Informed Consent].""]","[""Can the object in the image be used to represent an anatomical structure?"", ""Is there something in the image that could have been acquired using a CT scan?"", ""Does the image contain data that can be classified as a radiological sign?"", ""Is the object responsible for clinical decision-making in diagnosis?"", ""Does the image have spatial features such as resolution?"", ""Can the object in the image be processed using image filtering techniques?"", ""Is there something in the image that includes patient information as metadata?""]"
immunohistochemical,"[""What are the subclass relationships of immunohistochemical in the domain of medical testing?"", ""What types of tissue samples are commonly used for immunohistochemical staining?"", ""How does immunohistochemical staining aid in the diagnosis of diseases?"", ""What specific cellular components or antigens can be identified using immunohistochemical techniques?"", ""What software tools are available for analyzing immunohistochemical images?"", ""What is the significance of the intensity or distribution of immunohistochemical staining patterns?"", ""What are the commonly used markers or antibodies in immunohistochemical staining for different diseases or cell types?"", ""How does immunohistochemical staining help in understanding the mechanism of action of certain drugs?"", ""What are the limitations or challenges associated with immunohistochemical staining interpretations?""]","[""The subclass relationships of immunohistochemical in medical testing include [Substrate, Antibody, Enzyme]."", ""Immunohistochemical staining is typically performed on [Tissue Samples, Biopsy, Autopsy]."", ""Immunohistochemical staining aids in disease diagnosis by [Identifying Specific Antigens, Determining Cellular Origin, Assessing Disease Severity]."", ""Immunohistochemical techniques can identify [Cell Surface Markers, Cytoskeletal Proteins, Nuclear Antigens]."", ""Software tools for immunohistochemical image analysis include [ImageJ, IHC Profiler, Aperio]."", ""The intensity or distribution of immunohistochemical staining patterns signifies [Expression Levels, Cellular Localization, Disease Progression]."", ""Commonly used markers or antibodies in immunohistochemical staining vary for different diseases or cell types, including [CD Markers, Cytokeratins, Hormone Receptors]."", ""Immunohistochemical staining helps understand the mechanism of action of drugs by [Visualizing Drug Targets, Assessing Treatment Response, Identifying Off-Target Effects]."", ""Interpretation challenges in immunohistochemical staining include [Variability in Staining Intensity, Background Staining, Artefacts].""]","[""Does the image contain an object used for identifying specific antigens?"", ""Is there something in the image that signifies expression levels?"", ""Is the object responsible for assessing disease severity?"", ""Does the image show a structure related to cellular origin determination?"", ""Can the object aid in determining the mechanism of drug action?""]"
immunohistochemical stain,"[""What are the superclasses of immunohistochemical stain in a histological ontology?"", ""Which biological tissues or structures are commonly targeted with immunohistochemical stains?"", ""What specific antigens or biomarkers are identified using immunohistochemical stains?"", ""What types of cells or cellular components are typically visualized with immunohistochemical stains?"", ""How are immunohistochemical stains utilized in the diagnosis or classification of diseases?"", ""What are the advantages or limitations of using immunohistochemical stains in histopathological analysis?"", ""What data properties describe the intensity or pattern of immunohistochemical staining?"", ""What axioms or criteria define the specificity or sensitivity of an immunohistochemical stain?""]","[""The immunohistochemical stain is classified under the superclasses [Histochemical Technique, Immunostaining]."", ""Immunohistochemical stains are commonly used to target biological tissues or structures such as [Cells, Tissues, Organs]."", ""Specific antigens or biomarkers identified using immunohistochemical stains include [Protein Markers, Cellular Components]."", ""Immunohistochemical stains typically visualize types of cells or cellular components like [Nuclei, Membranes, Cytoskeleton]."", ""Immunohistochemical stains are utilized in the diagnosis or classification of diseases through [Pattern Recognition, Intensity Analysis, Co-localization]."", ""Advantages of using immunohistochemical stains in histopathological analysis include [Specificity, Sensitivity, Visualization], while limitations may include [Interpretation Variability, Technical Challenges]."", ""Data properties describing the intensity or pattern of immunohistochemical staining include [Intensity Levels, Distribution Patterns, Co-localization]."", ""Axioms or criteria defining the specificity or sensitivity of an immunohistochemical stain include [Antigen Specificity, Antibody Affinity, Signal-to-Noise Ratio].""]","[""Is there an object in the image that is used to visualize specific antigens?"", ""Does the image contain a structure that utilizes immunostaining for targeting cells or tissues?"", ""Is there something in the image that could be a technique for diagnosing diseases based on pattern recognition?"", ""Is the object responsible for providing specificity in identifying cellular components?"", ""Does the image contain a method that allows for the visualization of nuclei or membranes?""]"
immunohistochemical stainare bile duct cells,"[""What are the superclasses of Immunohistochemical Stain in a research methodology ontology?"", ""Which biological techniques or assays include Immunohistochemical Stain?"", ""What types of cellular structures or features are targeted by Immunohistochemical Stain in bile duct cells?"", ""What staining methods or procedures characterize Immunohistochemical Stain?"", ""What specific markers or antibodies are used in Immunohistochemical Staining for bile duct cells?"", ""What data properties describe the Immunohistochemical Stain, such as color intensity or pattern?"", ""What axioms or assumptions underlie the interpretation of Immunohistochemical Stain results in bile duct cells?"", ""How is Immunohistochemical Stain utilized in the identification or classification of bile duct cells?"", ""What inference or prediction can be made from Immunohistochemical Stain patterns in bile duct cells?""]","[""Immunohistochemical Stain is classified under the superclasses [Technique, Assay]."", ""Immunohistochemical Stain is part of the following biological techniques or assays [Cell Staining, Tissue Analysis]."", ""Immunohistochemical Stain targets cellular structures or features such as [Cell Membranes, Cytoplasmic Markers, Nuclear Antigens]."", ""Immunohistochemical Stain involves staining methods or procedures like [Antibody Application, Enzyme-Linked Immunosorbent Assay (ELISA)]."", ""Immunohistochemical Staining utilizes specific markers or antibodies such as [Cytokeratin, CD31, HepPar1]."", ""Descriptive data properties of Immunohistochemical Stain include [Color Intensity, Staining Pattern, Signal Strength]."", ""Axioms or assumptions underlying the interpretation of Immunohistochemical Stain results include [Specificity, Sensitivity, Interpretation Guidelines]."", ""Immunohistochemical Stain is used in the identification or classification of bile duct cells through [Marker Expression Profiling, Cell Typing, Diagnostic Testing]."", ""Inference or prediction from Immunohistochemical Stain patterns in bile duct cells can be made regarding [Cell Origin, Functional State, Disease Marker].""]","[""Is there an object in the image that uses antibodies for cell identification?"", ""Does the image contain a structure that is part of tissue analysis?"", ""Is there something in the image that targets nuclear antigens?"", ""Is the object used in diagnostic testing for bile duct cells?"", ""Does the image contain a staining method that involves enzyme-linked immunosorbent assay (ELISA)?""]"
inclusion,"[""What superclasses does the class 'inclusion' have in the ontology of cellular structures?"", ""What types of cellular structures can be classified as 'inclusion'?"", ""What are the subtypes of 'inclusion' in the context of cellular biology?"", ""How does the class 'inclusion' relate to other classes within the cellular structure ontology?"", ""What are the defining characteristics or properties of 'inclusion' in cells?"", ""What functions or roles do 'inclusions' play within a cell?"", ""What are the relationships between 'inclusion' and other cellular components or structures?""]","[""The class 'inclusion' has superclasses such as [Cellular Component, Organelle]."", ""Examples of cellular structures classified as 'inclusion' are [Lipofuscin, Peroxisomes, Glycogen Granules]."", ""Subtypes of 'inclusion' include [Autophagic Vacuoles, Lipid Droplets, Aggresomes]."", ""The class 'inclusion' is related to other classes like [Cytoplasm, Nucleus, Membrane-bound Vesicles]."", ""Defining characteristics of 'inclusion' include [Enclosed by a Membrane, Non-membranous Aggregate, Specialized Function]."", ""Functions of 'inclusions' within a cell involve [Storage, Protection, Metabolic Regulation]."", ""Relationships exist between 'inclusion' and other cellular components such as [Endoplasmic Reticulum, Mitochondria, Cytoskeleton].""]","[""Is there an object in the image that is a type of cellular structure?"", ""Does the image contain something classified under the class 'organelle'?"", ""Is there something in the image that is not a membrane-bound structure?"", ""Is the object in the image involved in metabolic regulation?"", ""Does the image contain a specialized function within a cell?""]"
inclusion bodies,"[""What are the superclasses of inclusion bodies in a cellular component ontology?"", ""Which organelles or structures can inclusion bodies be found within?"", ""What types of proteins or molecules are typically associated with inclusion bodies?"", ""What cellular processes or functions are related to the formation of inclusion bodies?"", ""What is the relationship between inclusion bodies and viral infections?"", ""What data properties describe the characteristics of inclusion bodies, such as their size or shape?"", ""What axioms define the role of inclusion bodies in cellular defense mechanisms?"", ""How are inclusion bodies involved in protein aggregation diseases?""]","[""The superclasses of inclusion bodies include [Cellular Component, Organelle]."", ""Inclusion bodies can be found within [Cytoplasm, Nucleus, Endoplasmic Reticulum]."", ""Inclusion bodies are associated with proteins or molecules such as [Aggregated Proteins, Viral Antigens, Chaperones]."", ""The formation of inclusion bodies is related to cellular processes like [Protein Folding, Misfolding, Aggregation]."", ""Inclusion bodies have a relationship with viral infections, particularly involving [Viral Replication, Capsid Assembly]."", ""Descriptive properties of inclusion bodies include characteristics such as [Size, Shape, Composition]."", ""Axioms defining the role of inclusion bodies in cellular defense mechanisms include [Protein Sequestration, Quality Control, Stress Response]."", ""Inclusion bodies are implicated in protein aggregation diseases like [Alzheimer's Disease, Parkinson's Disease, Amyloidosis].""]","[""Is there an object in the image that is involved in protein sequestration?"", ""Does the image contain a structure associated with viral replication?"", ""Is there something in the image related to the endoplasmic reticulum?"", ""Is the object responsible for regulating protein folding?"", ""Does the image contain an organelle involved in the stress response?""]"
inclusion-like nucleoli,"[""What are the superclasses of inclusion-like nucleoli in a cellular ontology?"", ""What cellular components or substructures include inclusion-like nucleoli?"", ""Which cell types or tissues contain inclusion-like nucleoli?"", ""What biological functions are associated with inclusion-like nucleoli?"", ""What structural features characterize inclusion-like nucleoli?"", ""Which molecular pathways or processes involve inclusion-like nucleoli?"", ""What interactions occur between inclusion-like nucleoli and other cellular components?"", ""What data properties describe inclusion-like nucleoli, such as size or shape?"", ""What axioms define the role of inclusion-like nucleoli in cellular processes?""]","[""Inclusion-like nucleoli are classified under the superclasses [Cellular Component, Nuclear Structure]."", ""Inclusion-like nucleoli are part of the cellular components [Nucleus, Nuclear Body]."", ""Inclusion-like nucleoli are typically found in cell types [Neurons, Epithelial Cells, Stem Cells]."", ""Inclusion-like nucleoli are associated with biological functions such as [RNA Processing, Protein Synthesis, DNA Repair]."", ""Inclusion-like nucleoli are characterized by structural features like [Fibrillar Centers, Dense Filaments, Peripheral Granules]."", ""Inclusion-like nucleoli participate in molecular pathways involving [Transcription, Translation, mRNA Transport]."", ""Inclusion-like nucleoli interact with other cellular components such as [Chromatin, Ribosomes, Nuclear Envelope]."", ""Descriptive data properties of inclusion-like nucleoli include [Size, Shape, Number per Cell]."", ""Axioms that define the role of inclusion-like nucleoli include involvement in [Gene Expression Regulation, Cell Cycle Control, Stress Response].""]","[""Is there an object in the image that regulates gene expression?"", ""Does the image contain a structure involved in RNA processing?"", ""Is there something in the image that could be part of the nuclear body?"", ""Is the object responsible for protein synthesis?"", ""Does the image contain a component of the endoplasmic reticulum?""]"
infiltrating,"[""What are the superclasses of infiltrating in an oncological hierarchy?"", ""Which types of cancer are characterized by infiltrating growth patterns?"", ""What cellular processes enable infiltrating behavior in cancer cells?"", ""How does infiltrating growth impact nearby tissues and organs?"", ""What are the molecular mechanisms underlying infiltrating behavior in cancer cells?"", ""What role does the extracellular matrix play in infiltrating cancer growth?"", ""What data properties describe the extent or rate of infiltrating growth in tumors?"", ""What axioms or logical definitions capture the impact of infiltrating growth on prognosis or treatment response?""]","[""In oncology, infiltrating is classified under the superclasses [Cancer Growth Pattern, Invasion]."", ""Infiltrating growth patterns are characteristic of cancer types such as [Carcinoma, Sarcoma]."", ""Cellular processes such as [Migration, Invasion] enable infiltrating behavior in cancer cells."", ""Infiltrating growth can lead to [Tissue Destruction, Organ Dysfunction]."", ""Molecular mechanisms such as [Protease Activity, Cell Adhesion Alterations] underlie infiltrating behavior in cancer cells."", ""The extracellular matrix plays a role in infiltrating cancer growth by providing [Structural Support, Barrier Function]."", ""Data properties describing infiltrating growth include [Tumor Size, Invasion Depth, Rate of Spread]."", ""Axioms that capture the impact of infiltrating growth on prognosis or treatment response include [Poor Prognosis Indicator, Resistance to Therapy].""]","[""Can the object disrupt normal tissue architecture?"", ""Is there an entity in the image that exhibits irregular boundaries with adjacent tissues?"", ""Does the image contain something that can penetrate surrounding structures?"", ""Is the object characterized by destructive invasion of nearby tissues?"", ""Does the image show a mass that can impair organ function?""]"
infiltrating adenocarcinoma,"[""What is the superclass of infiltrating adenocarcinoma in the Cancer Ontology?"", ""What are the subclasses of infiltrating adenocarcinoma?"", ""What is the preferred site of origin for infiltrating adenocarcinoma?"", ""What are the hallmark histopathologic features of infiltrating adenocarcinoma?"", ""What is the ICD-10 code for infiltrating adenocarcinoma?"", ""What is the WHO classification for infiltrating adenocarcinoma?"", ""What are the common clinical presentations of infiltrating adenocarcinoma?"", ""What are the risk factors associated with the development of infiltrating adenocarcinoma?"", ""What are the typical radiologic findings in cases of infiltrating adenocarcinoma?"", ""What are the treatment options available for infiltrating adenocarcinoma?""]","[""The superclass of infiltrating adenocarcinoma in the Cancer Ontology is [Carcinoma]."", ""The subclasses of infiltrating adenocarcinoma include [Infiltrating Ductal Adenocarcinoma, Infiltrating Lobular Adenocarcinoma]."", ""The preferred site of origin for infiltrating adenocarcinoma is [Breast]."", ""The hallmark histopathologic features of infiltrating adenocarcinoma are [Invasion of Stroma, Tumor Necrosis, Pleomorphism]."", ""The ICD-10 code for infiltrating adenocarcinoma is [C50.0]."", ""The WHO classification for infiltrating adenocarcinoma is [Grade III or IV]."", ""Common clinical presentations of infiltrating adenocarcinoma include [Breast Mass, Skin Changes, Pain]."", ""Risk factors associated with the development of infiltrating adenocarcinoma include [Age, Gender, Family History]."", ""Typical radiologic findings in cases of infiltrating adenocarcinoma include [Masses, Architectural Distortion, Calcifications]."", ""Treatment options available for infiltrating adenocarcinoma include [Surgery, Chemotherapy, Radiation Therapy].""]","[""Is there an object in the image that is characterized by invasion of stroma and tumor necrosis?"", ""Does the image contain a structure that is classified under carcinoma in the Cancer Ontology?"", ""Is there something in the image that could be a preferred site of origin for infiltrating adenocarcinoma?"", ""Is the object responsible for hallmark histopathologic features such as pleomorphism?"", ""Does the image contain a gland of the endocrine system?""]"
inflammatory,"[""What are the superclasses of inflammatory in a disease ontology?"", ""Which biological processes are associated with the inflammatory response?"", ""What types of cells or molecules are involved in inflammatory responses?"", ""What tissue characteristics indicate the presence of inflammation?"", ""What signaling pathways or cytokines mediate inflammatory processes?"", ""How does inflammation affect normal tissue function and homeostasis?"", ""What data properties describe the degree or severity of inflammation?"", ""What axioms define the role of inflammation in the immune response?""]","[""The inflammatory is classified under the superclasses [Pathologic Process, Immune Response]."", ""Inflammatory responses are part of the biological processes [Immune Activation, Tissue Repair]."", ""Cells involved in inflammatory responses include [Macrophages, Neutrophils, Mast Cells]."", ""Tissue characteristics of inflammation are [Redness, Swelling, Heat, Pain]."", ""Signaling pathways mediating inflammation involve [NF-kB, IL-1, TNF-alpha]."", ""Inflammation can disrupt [Tissue Integrity, Cellular Function, Vascular Permeability]."", ""Data properties describing inflammation include [Intensity, Duration, Location]."", ""Axioms defining the role of inflammation in the immune response include [Pathogen Elimination, Tissue Healing].""]",[]
intestine,"[""What are the superclasses of 'intestine' within a digestive system ontology?"", ""What is the hierarchical relationship between 'intestine' and other parts of the gastrointestinal tract?"", ""What types of cells make up the intestinal lining?"", ""How does the 'intestine' contribute to nutrient absorption and digestion?"", ""What is the functional role of the 'intestine' in relation to other organs of the digestive system?"", ""What anatomical features distinguish the 'intestine' from other sections of the gastrointestinal tract?"", ""Which specific enzymes or biochemical pathways are associated with the 'intestine'?"", ""How is the 'intestine' regulated by the autonomic nervous system?"", ""What axioms or logical definitions capture the 'intestine's' function within the digestive system?""]","[""The 'intestine' is classified under the superclasses [Organ, Tubular Structure]."", ""The 'intestine' is part of the gastrointestinal tract and is hierarchically related to the [Stomach, Rectum]."", ""The intestinal lining is composed of cell types such as [Enterocytes, Goblet Cells, Intraepithelial Lymphocytes]."", ""The 'intestine' facilitates the absorption of nutrients through processes like passive diffusion and active transport."", ""The 'intestine' plays a crucial role in the digestion and absorption of nutrients, working in conjunction with the [Pancreas, Liver]."", ""Anatomical features of the 'intestine' include its long, tube-like structure with [Villi, Microvilli, Plicae Circulares]."", ""Enzymes associated with the 'intestine' include [Carboxypeptidase, Aminopeptidase, Disaccharidases]."", ""The 'intestine' is innervated by the autonomic nervous system, primarily through the [Vagus Nerve, Enteric Nervous System]."", ""Axioms defining the 'intestine's' role within the digestive system include [Absorption, Digestion, Nutrient Processing].""]","[""Is there an object in the image that is part of the gastrointestinal tract?"", ""Does the image contain a structure that facilitates the absorption of nutrients?"", ""Is there something in the image that is hierarchically related to the stomach?"", ""Does the image contain a tubular structure?"", ""Is the object responsible for digestion and absorption of nutrients?""]"
kidney,"[""What are the superclasses of Kidney in a urinary system ontology?"", ""Which structures are part of the Kidney\u2019s functional unit, such as nephrons?"", ""What role does the Kidney have in maintaining fluid and electrolyte balance?"", ""What are the main functions performed by the Kidney, such as filtration and reabsorption?"", ""What data properties describe the Kidney, such as its size or number of nephrons?"", ""What axioms define the Kidney\u2019s role in acid-base balance?"", ""How is the Kidney integrated into the broader urinary system?"", ""Which relationships define the Kidney\u2019s interaction with other organs, like the bladder?""]","[""The Kidney is classified under the superclasses [Urinary Organ, Filtration Device]."", ""The Kidney\u2019s functional unit includes structures such as [Nephrons, Renal Corpuscle, Renal Tubule]."", ""The Kidney plays a role in maintaining fluid and electrolyte balance by regulating [Sodium, Potassium, Water]."", ""The Kidney performs functions such as [Filtration, Reabsorption, Secretion]."", ""Descriptive properties of the Kidney include [Size, Number of Nephrons, Blood Flow Rate]."", ""Axioms that define the Kidney\u2019s role in acid-base balance include [Reabsorption of Bicarbonate, Secretion of Hydrogen Ions]."", ""The Kidney is integrated into the urinary system through connections with [Ureters, Bladder, Renal Pelvis]."", ""The Kidney interacts with other organs, such as [Bladder, Urethra], through the urinary tract.""]","[""Is there an object in the image that regulates acid-base balance?"", ""Does the image contain a structure responsible for reabsorption of substances?"", ""Is there something in the image that filters blood?"", ""Does the image contain a part of the urinary system?"", ""Is the object responsible for maintaining fluid balance?""]"
leiomyoma,"[""What are the superclasses of Leiomyoma in an oncological hierarchy?"", ""What types of cells give rise to Leiomyoma?"", ""Which organ systems are affected by Leiomyoma?"", ""What biological processes are implicated in Leiomyoma development or progression?"", ""What structural features or histopathological characteristics define Leiomyoma?"", ""What molecular pathways or genetic alterations are associated with Leiomyoma?"", ""How does Leiomyoma impact normal tissue function or homeostasis?"", ""What data properties describe Leiomyoma, such as size, grade, or stage?"", ""What axioms or logical definitions capture the nature of Leiomyoma as a benign tumor?""]","[""The Leiomyoma is classified under the superclasses [Tumor, Benign Tumor]."", ""The Leiomyoma arises from the proliferation of smooth muscle cells."", ""The Leiomyoma affects the organ systems such as [Reproductive System, Urinary System]."", ""The development or progression of Leiomyoma involves processes like [Hormonal Influence, Proliferation Signaling]."", ""Leiomyoma is characterized by histopathological features including [Well-Demarcated Mass, Spindle or Epithelioid Cells]."", ""Leiomyoma is associated with alterations in pathways such as [Estrogen Signaling, Cell Cycle Regulation]."", ""Leiomyoma can disrupt normal tissue function by [Compressing Adjacent Structures, Distorting Organ Architecture]."", ""Descriptive properties of Leiomyoma include [Size, Grade, Stage, Mitotic Index]."", ""Axioms defining Leiomyoma as a benign tumor include [Non-Invasive Growth, Non-Metastatic Potential].""]",[]
leiomyomawhat,"[""What are the superclasses of Leiomyoma in an oncological hierarchy?"", ""What types of cells give rise to Leiomyoma?"", ""What are the biological processes associated with the development of Leiomyoma?"", ""What are the characteristic morphological features of Leiomyoma?"", ""What molecular pathways or genetic mutations are involved in the pathogenesis of Leiomyoma?"", ""What ontological relationships exist between Leiomyoma and other types of tumors or diseases?"", ""What data properties describe the prevalence or incidence of Leiomyoma?"", ""What axioms define the malignant or benign nature of Leiomyoma?""]","[""The Leiomyoma is classified under the superclasses [Tumor, Neoplasm]."", ""The Leiomyoma originates from smooth muscle cells."", ""The development of Leiomyoma is associated with biological processes such as [Hormonal Imbalance, Proliferation]."", ""The characteristic morphological features of Leiomyoma include [Well-Demarcated Mass, Whorled Appearance]."", ""The pathogenesis of Leiomyoma involves molecular pathways or genetic mutations such as [Mediator Complex Gene Rearrangement]."", ""Leiomyoma has ontological relationships with other tumor types or diseases such as [Uterine Fibroids, Endometriosis]."", ""Data properties describing the occurrence of Leiomyoma include [Prevalence Rate, Age Distribution]."", ""Axioms that define the nature of Leiomyoma include its classification as a [Benign Tumor].""]","[""Is there an object in the image that originates from smooth muscle cells?"", ""Does the image contain a structure that is associated with hormonal imbalances?"", ""Is there something in the image that exhibits a well-demarcated mass with a whorled appearance?"", ""Is the object related to a tumor that involves the Mediator Complex Gene Rearrangement pathway?"", ""Does the image contain a benign tumor that is commonly found in the uterus?""]"
lipid,"[""What are the superclasses of Lipid in a chemical classification?"", ""What types of molecules constitute a Lipid?"", ""How do Lipids contribute to cell membrane structure?"", ""What biological functions are associated with Lipids, such as energy storage?"", ""What chemical properties characterize Lipids?"", ""What metabolic pathways involve Lipids?"", ""What data properties describe Lipids, such as their solubility or fluidity?"", ""What axioms or logical definitions capture the Lipid\u2019s role in cellular signaling?""]","[""The superclasses of Lipid in a chemical classification include [Organic Compound, Biomolecule]."", ""Lipids are composed of various types of molecules such as [Triglycerides, Phospholipids, Cholesterol]."", ""Lipids contribute to cell membrane structure by forming a [bilayer]."", ""Lipids perform biological functions including [Energy Storage, Cell Signaling, Hormone Regulation]."", ""Lipids are characterized by chemical properties such as [Nonpolar, Hydrophobic, Insoluble in Water]."", ""Lipids are involved in metabolic pathways like [Beta-Oxidation, Lipogenesis, Lipolysis]."", ""Data properties that describe Lipids include [Solubility in Nonpolar Solvents, Fluidity at Different Temperatures]."", ""Axioms that define the role of Lipids in cellular signaling include [Signal Transduction, Membrane Fluidity Regulation].""]","[""Is there an object in the image that is part of the cell membrane?"", ""Does the image contain something that stores energy in cells?"", ""Is there something in the image that contributes to cell signaling?"", ""Is the object responsible for hormone regulation?"", ""Does the image contain a structure that is hydrophobic?""]"
liver stem cells,"[""What are the superclasses of Liver Stem Cells in a cellular hierarchy?"", ""Which organ systems include cells of the Liver Stem Cells type?"", ""What types of cells are derived from Liver Stem Cells during development or regeneration?"", ""What biological functions do Liver Stem Cells perform, such as self-renewal or differentiation?"", ""What structural features characterize the niches or microenvironments of Liver Stem Cells?"", ""What signaling pathways or growth factors influence the behavior of Liver Stem Cells?"", ""What organ interactions occur with Liver Stem Cells in the digestive system?"", ""What data properties describe Liver Stem Cells, for example, their proliferative capacity or surface markers?"", ""What axioms define the role of Liver Stem Cells in tissue regeneration?""]","[""Liver Stem Cells are classified under the superclasses [Stem Cell, Progenitor Cell]."", ""Liver Stem Cells are part of the following organ systems [Digestive System, Hepatic System]."", ""Liver Stem Cells give rise to differentiated cell types such as [Hepatocytes, Bile Duct Cells, Sinusoidal Endothelial Cells]."", ""Liver Stem Cells perform biological functions including [Self-Renewal, Multipotency, Liver Regeneration]."", ""The niches of Liver Stem Cells are characterized by features such as [Periportal Region, Canals of Hering, Blood Vessels]."", ""Liver Stem Cells are influenced by signaling pathways and factors like [Wnt/Beta-Catenin, Notch, Hepatocyte Growth Factor]."", ""Liver Stem Cells interact with organs such as [Liver, Gallbladder, Pancreas]."", ""Descriptive properties of Liver Stem Cells include [High Proliferative Capacity, Expression of Surface Markers like CD133 or CD90]."", ""Axioms that define the role of Liver Stem Cells include involvement in [Tissue Regeneration, Liver Repair, Homeostasis].""]","[""Is there an object in the image that has the potential to differentiate into multiple cell types?"", ""Does the image contain a structure with self-renewal capability?"", ""Is there something in the image that participates in liver regeneration?"", ""Is the object involved in the regulation of blood glucose levels?"", ""Does the image contain a cell type that expresses CD133 on its surface?""]"
longitudinally-oriented,"[""What are the superclasses of longitudinally-oriented in an anatomical hierarchy?"", ""Which body parts or structures are longitudinally-oriented?"", ""What types of tissues or cells make up longitudinally-oriented structures?"", ""What physiological functions do longitudinally-oriented structures perform?"", ""What characteristics or features distinguish longitudinally-oriented structures from others?"", ""What roles do longitudinally-oriented structures play within organ systems or body regions?"", ""What data properties describe longitudinally-oriented structures, such as their length or orientation?"", ""What axioms or logical definitions capture the concept of being longitudinally-oriented?""]","[""The superclasses of longitudinally-oriented in an anatomical hierarchy are [Structure, Anatomy]."", ""Longitudinally-oriented structures include [Muscles, Bones, Vessels]."", ""Longitudinally-oriented structures are composed of tissues such as [Skeletal Muscle, Connective Tissue, Epithelial Tissue]."", ""Physiological functions of longitudinally-oriented structures include [Movement Facilitation, Support, Conduction]."", ""Characteristics of longitudinally-oriented structures are their [Extended Shape, Alignment, Orientation]."", ""Longitudinally-oriented structures play roles in organ systems or body regions such as [Musculoskeletal, Circulatory, Nervous]."", ""Data properties of longitudinally-oriented structures describe their [Length, Diameter, Direction]."", ""Axioms defining the concept of being longitudinally-oriented include [Linear Alignment, Directionality, Extension].""]","[""Is there an object in the image that is responsible for movement facilitation?"", ""Does the image contain a structure that provides support to the body?"", ""Is there something in the image that is involved in conduction?"", ""Is the object a part of the musculoskeletal system?"", ""Does the image contain a structure with an extended shape?""]"
lower-extremity,"[""What are the superclasses of lower-extremity in a skeletal ontology?"", ""Which bones are commonly found in the lower-extremity?"", ""What types of joints connect the bones within the lower-extremity?"", ""What muscles are responsible for movement in the lower-extremity?"", ""What nerves innervate the lower-extremity?"", ""What blood vessels supply the lower-extremity?"", ""How is the lower-extremity involved in locomotion and balance?"", ""What anatomical landmarks can be identified on the lower-extremity?"", ""What variations or abnormalities may occur in the lower-extremity?""]","[""The lower-extremity is classified under the superclasses [Appendicular Skeleton, Limb]."", ""The lower-extremity includes bones such as [Femur, Tibia, Fibula, Patella]."", ""The bones in the lower-extremity are connected by joint types like [Hip Joint, Knee Joint, Ankle Joint]."", ""Movement in the lower-extremity is facilitated by muscles including [Quadriceps, Hamstrings, Gastrocnemius]."", ""The lower-extremity is innervated by nerves such as [Sciatic Nerve, Tibial Nerve, Peroneal Nerve]."", ""Blood supply to the lower-extremity is provided by vessels including [Femoral Artery, Popliteal Artery, Anterior Tibial Artery]."", ""The lower-extremity contributes to locomotion and balance through mechanisms like [Walking, Running, Standing]."", ""Anatomical landmarks on the lower-extremity include [Knee Cap, Medial Malleolus, Achilles Tendon]."", ""Variations or abnormalities that may occur in the lower-extremity include [Fractures, Dislocations, Congenital Malformations].""]","[""Does the image contain a structure that includes the femur bone?"", ""Is there an object in the image that facilitates movement at the knee joint?"", ""Does the image contain a part of the appendicular skeleton?"", ""Is there something in the image that is innervated by the tibial nerve?"", ""Does the image contain a structure that is supplied by the femoral artery?""]"
