class,questons,label
crookes cells,Is there a structure in the image that might produce bile?,1
crookes cells,Does the image show an organ that could be involved in detoxifying substances?,1
crookes cells,Is there something in the image that is connected to the gallbladder?,1
crookes cells,Does the image include a structure composed of lobules?,1
crookes cells,Is there a part of the digestive system visible in the image?,1
crookes cells,Is there an object in the image that produces insulin?,0
crookes cells,Does the image contain a structure that regulates neurotransmitters?,0
crookes cells,Is there something in the image that could be a spinal cord segment?,0
crookes cells,Is the object responsible for pumping blood?,0
crookes cells,Does the image contain a gland of the endocrine system?,0
cross section,Is there a structure in the image that might produce bile?,1
cross section,Does the image show an organ that could be involved in detoxifying substances?,1
cross section,Is there something in the image that is connected to the gallbladder?,1
cross section,Does the image include a structure composed of lobules?,1
cross section,Is there a part of the digestive system visible in the image?,1
cross section,Is there an object in the image that produces insulin?,0
cross section,Does the image contain a structure that regulates neurotransmitters?,0
cross section,Is there something in the image that could be a spinal cord segment?,0
cross section,Is the object responsible for pumping blood?,0
cross section,Does the image contain a gland of the endocrine system?,0
cross-sections,Is there a structure in the image that might produce bile?,1
cross-sections,Does the image show an organ that could be involved in detoxifying substances?,1
cross-sections,Is there something in the image that is connected to the gallbladder?,1
cross-sections,Does the image include a structure composed of lobules?,1
cross-sections,Is there a part of the digestive system visible in the image?,1
cross-sections,Is there an object in the image that produces insulin?,0
cross-sections,Does the image contain a structure that regulates neurotransmitters?,0
cross-sections,Is there something in the image that could be a spinal cord segment?,0
cross-sections,Is the object responsible for pumping blood?,0
cross-sections,Does the image contain a gland of the endocrine system?,0
cryptococcal meningitis,Is there a structure in the image that might produce bile?,1
cryptococcal meningitis,Does the image show an organ that could be involved in detoxifying substances?,1
cryptococcal meningitis,Is there something in the image that is connected to the gallbladder?,1
cryptococcal meningitis,Does the image include a structure composed of lobules?,1
cryptococcal meningitis,Is there a part of the digestive system visible in the image?,1
cryptococcal meningitis,Is there an object in the image that produces insulin?,0
cryptococcal meningitis,Does the image contain a structure that regulates neurotransmitters?,0
cryptococcal meningitis,Is there something in the image that could be a spinal cord segment?,0
cryptococcal meningitis,Is the object responsible for pumping blood?,0
cryptococcal meningitis,Does the image contain a gland of the endocrine system?,0
cryptosporidia,Is there a structure in the image that might produce bile?,1
cryptosporidia,Does the image show an organ that could be involved in detoxifying substances?,1
cryptosporidia,Is there something in the image that is connected to the gallbladder?,1
cryptosporidia,Does the image include a structure composed of lobules?,1
cryptosporidia,Is there a part of the digestive system visible in the image?,1
cryptosporidia,Is there an object in the image that produces insulin?,0
cryptosporidia,Does the image contain a structure that regulates neurotransmitters?,0
cryptosporidia,Is there something in the image that could be a spinal cord segment?,0
cryptosporidia,Is the object responsible for pumping blood?,0
cryptosporidia,Does the image contain a gland of the endocrine system?,0
ctive,Is there a structure in the image that might produce bile?,1
ctive,Does the image show an organ that could be involved in detoxifying substances?,1
ctive,Is there something in the image that is connected to the gallbladder?,1
ctive,Does the image include a structure composed of lobules?,1
ctive,Is there a part of the digestive system visible in the image?,1
ctive,Is there an object in the image that produces insulin?,0
ctive,Does the image contain a structure that regulates neurotransmitters?,0
ctive,Is there something in the image that could be a spinal cord segment?,0
ctive,Is the object responsible for pumping blood?,0
ctive,Does the image contain a gland of the endocrine system?,0
cuboidal cells,Is there a structure in the image that might produce bile?,1
cuboidal cells,Does the image show an organ that could be involved in detoxifying substances?,1
cuboidal cells,Is there something in the image that is connected to the gallbladder?,1
cuboidal cells,Does the image include a structure composed of lobules?,1
cuboidal cells,Is there a part of the digestive system visible in the image?,1
cuboidal cells,Is there an object in the image that produces insulin?,0
cuboidal cells,Does the image contain a structure that regulates neurotransmitters?,0
cuboidal cells,Is there something in the image that could be a spinal cord segment?,0
cuboidal cells,Is the object responsible for pumping blood?,0
cuboidal cells,Does the image contain a gland of the endocrine system?,0
cusp,Is there a structure in the image that might produce bile?,1
cusp,Does the image show an organ that could be involved in detoxifying substances?,1
cusp,Is there something in the image that is connected to the gallbladder?,1
cusp,Does the image include a structure composed of lobules?,1
cusp,Is there a part of the digestive system visible in the image?,1
cusp,Is there an object in the image that produces insulin?,0
cusp,Does the image contain a structure that regulates neurotransmitters?,0
cusp,Is there something in the image that could be a spinal cord segment?,0
cusp,Is the object responsible for pumping blood?,0
cusp,Does the image contain a gland of the endocrine system?,0
cut edge,Is there a structure in the image that might produce bile?,1
cut edge,Does the image show an organ that could be involved in detoxifying substances?,1
cut edge,Is there something in the image that is connected to the gallbladder?,1
cut edge,Does the image include a structure composed of lobules?,1
cut edge,Is there a part of the digestive system visible in the image?,1
cut edge,Is there an object in the image that produces insulin?,0
cut edge,Does the image contain a structure that regulates neurotransmitters?,0
cut edge,Is there something in the image that could be a spinal cord segment?,0
cut edge,Is the object responsible for pumping blood?,0
cut edge,Does the image contain a gland of the endocrine system?,0
cyclops,Is there a structure in the image that might produce bile?,1
cyclops,Does the image show an organ that could be involved in detoxifying substances?,1
cyclops,Is there something in the image that is connected to the gallbladder?,1
cyclops,Does the image include a structure composed of lobules?,1
cyclops,Is there a part of the digestive system visible in the image?,1
cyclops,Is there an object in the image that produces insulin?,0
cyclops,Does the image contain a structure that regulates neurotransmitters?,0
cyclops,Is there something in the image that could be a spinal cord segment?,0
cyclops,Is the object responsible for pumping blood?,0
cyclops,Does the image contain a gland of the endocrine system?,0
cystadenocarcinoma,Is there a structure in the image that might produce bile?,1
cystadenocarcinoma,Does the image show an organ that could be involved in detoxifying substances?,1
cystadenocarcinoma,Is there something in the image that is connected to the gallbladder?,1
cystadenocarcinoma,Does the image include a structure composed of lobules?,1
cystadenocarcinoma,Is there a part of the digestive system visible in the image?,1
cystadenocarcinoma,Is there an object in the image that produces insulin?,0
cystadenocarcinoma,Does the image contain a structure that regulates neurotransmitters?,0
cystadenocarcinoma,Is there something in the image that could be a spinal cord segment?,0
cystadenocarcinoma,Is the object responsible for pumping blood?,0
cystadenocarcinoma,Does the image contain a gland of the endocrine system?,0
cystic,Is there a structure in the image that might produce bile?,1
cystic,Does the image show an organ that could be involved in detoxifying substances?,1
cystic,Is there something in the image that is connected to the gallbladder?,1
cystic,Does the image include a structure composed of lobules?,1
cystic,Is there a part of the digestive system visible in the image?,1
cystic,Is there an object in the image that produces insulin?,0
cystic,Does the image contain a structure that regulates neurotransmitters?,0
cystic,Is there something in the image that could be a spinal cord segment?,0
cystic,Is the object responsible for pumping blood?,0
cystic,Does the image contain a gland of the endocrine system?,0
cystic change,Is there a structure in the image that might produce bile?,1
cystic change,Does the image show an organ that could be involved in detoxifying substances?,1
cystic change,Is there something in the image that is connected to the gallbladder?,1
cystic change,Does the image include a structure composed of lobules?,1
cystic change,Is there a part of the digestive system visible in the image?,1
cystic change,Is there an object in the image that produces insulin?,0
cystic change,Does the image contain a structure that regulates neurotransmitters?,0
cystic change,Is there something in the image that could be a spinal cord segment?,0
cystic change,Is the object responsible for pumping blood?,0
cystic change,Does the image contain a gland of the endocrine system?,0
cystic ovarian tumors,Is there a structure in the image that might produce bile?,1
cystic ovarian tumors,Does the image show an organ that could be involved in detoxifying substances?,1
cystic ovarian tumors,Is there something in the image that is connected to the gallbladder?,1
cystic ovarian tumors,Does the image include a structure composed of lobules?,1
cystic ovarian tumors,Is there a part of the digestive system visible in the image?,1
cystic ovarian tumors,Is there an object in the image that produces insulin?,0
cystic ovarian tumors,Does the image contain a structure that regulates neurotransmitters?,0
cystic ovarian tumors,Is there something in the image that could be a spinal cord segment?,0
cystic ovarian tumors,Is the object responsible for pumping blood?,0
cystic ovarian tumors,Does the image contain a gland of the endocrine system?,0
cystitis,Is there a structure in the image that might produce bile?,1
cystitis,Does the image show an organ that could be involved in detoxifying substances?,1
cystitis,Is there something in the image that is connected to the gallbladder?,1
cystitis,Does the image include a structure composed of lobules?,1
cystitis,Is there a part of the digestive system visible in the image?,1
cystitis,Is there an object in the image that produces insulin?,0
cystitis,Does the image contain a structure that regulates neurotransmitters?,0
cystitis,Is there something in the image that could be a spinal cord segment?,0
cystitis,Is the object responsible for pumping blood?,0
cystitis,Does the image contain a gland of the endocrine system?,0
cysts,Is there a structure in the image that might produce bile?,1
cysts,Does the image show an organ that could be involved in detoxifying substances?,1
cysts,Is there something in the image that is connected to the gallbladder?,1
cysts,Does the image include a structure composed of lobules?,1
cysts,Is there a part of the digestive system visible in the image?,1
cysts,Is there an object in the image that produces insulin?,0
cysts,Does the image contain a structure that regulates neurotransmitters?,0
cysts,Is there something in the image that could be a spinal cord segment?,0
cysts,Is the object responsible for pumping blood?,0
cysts,Does the image contain a gland of the endocrine system?,0
cytokeratin 7,Is there a structure in the image that might produce bile?,1
cytokeratin 7,Does the image show an organ that could be involved in detoxifying substances?,1
cytokeratin 7,Is there something in the image that is connected to the gallbladder?,1
cytokeratin 7,Does the image include a structure composed of lobules?,1
cytokeratin 7,Is there a part of the digestive system visible in the image?,1
cytokeratin 7,Is there an object in the image that produces insulin?,0
cytokeratin 7,Does the image contain a structure that regulates neurotransmitters?,0
cytokeratin 7,Is there something in the image that could be a spinal cord segment?,0
cytokeratin 7,Is the object responsible for pumping blood?,0
cytokeratin 7,Does the image contain a gland of the endocrine system?,0
cytologic atypia,Is there a structure in the image that might produce bile?,1
cytologic atypia,Does the image show an organ that could be involved in detoxifying substances?,1
cytologic atypia,Is there something in the image that is connected to the gallbladder?,1
cytologic atypia,Does the image include a structure composed of lobules?,1
cytologic atypia,Is there a part of the digestive system visible in the image?,1
cytologic atypia,Is there an object in the image that produces insulin?,0
cytologic atypia,Does the image contain a structure that regulates neurotransmitters?,0
cytologic atypia,Is there something in the image that could be a spinal cord segment?,0
cytologic atypia,Is the object responsible for pumping blood?,0
cytologic atypia,Does the image contain a gland of the endocrine system?,0
cytomegalovirus,Is there a structure in the image that might produce bile?,1
cytomegalovirus,Does the image show an organ that could be involved in detoxifying substances?,1
cytomegalovirus,Is there something in the image that is connected to the gallbladder?,1
cytomegalovirus,Does the image include a structure composed of lobules?,1
cytomegalovirus,Is there a part of the digestive system visible in the image?,1
cytomegalovirus,Is there an object in the image that produces insulin?,0
cytomegalovirus,Does the image contain a structure that regulates neurotransmitters?,0
cytomegalovirus,Is there something in the image that could be a spinal cord segment?,0
cytomegalovirus,Is the object responsible for pumping blood?,0
cytomegalovirus,Does the image contain a gland of the endocrine system?,0
cytopathic changes,Is there a structure in the image that might produce bile?,1
cytopathic changes,Does the image show an organ that could be involved in detoxifying substances?,1
cytopathic changes,Is there something in the image that is connected to the gallbladder?,1
cytopathic changes,Does the image include a structure composed of lobules?,1
cytopathic changes,Is there a part of the digestive system visible in the image?,1
cytopathic changes,Is there an object in the image that produces insulin?,0
cytopathic changes,Does the image contain a structure that regulates neurotransmitters?,0
cytopathic changes,Is there something in the image that could be a spinal cord segment?,0
cytopathic changes,Is the object responsible for pumping blood?,0
cytopathic changes,Does the image contain a gland of the endocrine system?,0
cytoplasm,Is there a structure in the image that might produce bile?,1
cytoplasm,Does the image show an organ that could be involved in detoxifying substances?,1
cytoplasm,Is there something in the image that is connected to the gallbladder?,1
cytoplasm,Does the image include a structure composed of lobules?,1
cytoplasm,Is there a part of the digestive system visible in the image?,1
cytoplasm,Is there an object in the image that produces insulin?,0
cytoplasm,Does the image contain a structure that regulates neurotransmitters?,0
cytoplasm,Is there something in the image that could be a spinal cord segment?,0
cytoplasm,Is the object responsible for pumping blood?,0
cytoplasm,Does the image contain a gland of the endocrine system?,0
cytoplasmic,Is there a structure in the image that might produce bile?,1
cytoplasmic,Does the image show an organ that could be involved in detoxifying substances?,1
cytoplasmic,Is there something in the image that is connected to the gallbladder?,1
cytoplasmic,Does the image include a structure composed of lobules?,1
cytoplasmic,Is there a part of the digestive system visible in the image?,1
cytoplasmic,Is there an object in the image that produces insulin?,0
cytoplasmic,Does the image contain a structure that regulates neurotransmitters?,0
cytoplasmic,Is there something in the image that could be a spinal cord segment?,0
cytoplasmic,Is the object responsible for pumping blood?,0
cytoplasmic,Does the image contain a gland of the endocrine system?,0
damage,Is there a structure in the image that might produce bile?,1
damage,Does the image show an organ that could be involved in detoxifying substances?,1
damage,Is there something in the image that is connected to the gallbladder?,1
damage,Does the image include a structure composed of lobules?,1
damage,Is there a part of the digestive system visible in the image?,1
damage,Is there an object in the image that produces insulin?,0
damage,Does the image contain a structure that regulates neurotransmitters?,0
damage,Is there something in the image that could be a spinal cord segment?,0
damage,Is the object responsible for pumping blood?,0
damage,Does the image contain a gland of the endocrine system?,0
days,Is there a structure in the image that might produce bile?,1
days,Does the image show an organ that could be involved in detoxifying substances?,1
days,Is there something in the image that is connected to the gallbladder?,1
days,Does the image include a structure composed of lobules?,1
days,Is there a part of the digestive system visible in the image?,1
days,Is there an object in the image that produces insulin?,0
days,Does the image contain a structure that regulates neurotransmitters?,0
days,Is there something in the image that could be a spinal cord segment?,0
days,Is the object responsible for pumping blood?,0
days,Does the image contain a gland of the endocrine system?,0
decubitus ulcer,Is there a structure in the image that might produce bile?,1
decubitus ulcer,Does the image show an organ that could be involved in detoxifying substances?,1
decubitus ulcer,Is there something in the image that is connected to the gallbladder?,1
decubitus ulcer,Does the image include a structure composed of lobules?,1
decubitus ulcer,Is there a part of the digestive system visible in the image?,1
decubitus ulcer,Is there an object in the image that produces insulin?,0
decubitus ulcer,Does the image contain a structure that regulates neurotransmitters?,0
decubitus ulcer,Is there something in the image that could be a spinal cord segment?,0
decubitus ulcer,Is the object responsible for pumping blood?,0
decubitus ulcer,Does the image contain a gland of the endocrine system?,0
deformed,Is there a structure in the image that might produce bile?,1
deformed,Does the image show an organ that could be involved in detoxifying substances?,1
deformed,Is there something in the image that is connected to the gallbladder?,1
deformed,Does the image include a structure composed of lobules?,1
deformed,Is there a part of the digestive system visible in the image?,1
deformed,Is there an object in the image that produces insulin?,0
deformed,Does the image contain a structure that regulates neurotransmitters?,0
deformed,Is there something in the image that could be a spinal cord segment?,0
deformed,Is the object responsible for pumping blood?,0
deformed,Does the image contain a gland of the endocrine system?,0
dense,Is there a structure in the image that might produce bile?,1
dense,Does the image show an organ that could be involved in detoxifying substances?,1
dense,Is there something in the image that is connected to the gallbladder?,1
dense,Does the image include a structure composed of lobules?,1
dense,Is there a part of the digestive system visible in the image?,1
dense,Is there an object in the image that produces insulin?,0
dense,Does the image contain a structure that regulates neurotransmitters?,0
dense,Is there something in the image that could be a spinal cord segment?,0
dense,Is the object responsible for pumping blood?,0
dense,Does the image contain a gland of the endocrine system?,0
dense lymphoid infiltrate,Is there a structure in the image that might produce bile?,1
dense lymphoid infiltrate,Does the image show an organ that could be involved in detoxifying substances?,1
dense lymphoid infiltrate,Is there something in the image that is connected to the gallbladder?,1
dense lymphoid infiltrate,Does the image include a structure composed of lobules?,1
dense lymphoid infiltrate,Is there a part of the digestive system visible in the image?,1
dense lymphoid infiltrate,Is there an object in the image that produces insulin?,0
dense lymphoid infiltrate,Does the image contain a structure that regulates neurotransmitters?,0
dense lymphoid infiltrate,Is there something in the image that could be a spinal cord segment?,0
dense lymphoid infiltrate,Is the object responsible for pumping blood?,0
dense lymphoid infiltrate,Does the image contain a gland of the endocrine system?,0
densely,Is there a structure in the image that might produce bile?,1
densely,Does the image show an organ that could be involved in detoxifying substances?,1
densely,Is there something in the image that is connected to the gallbladder?,1
densely,Does the image include a structure composed of lobules?,1
densely,Is there a part of the digestive system visible in the image?,1
densely,Is there an object in the image that produces insulin?,0
densely,Does the image contain a structure that regulates neurotransmitters?,0
densely,Is there something in the image that could be a spinal cord segment?,0
densely,Is the object responsible for pumping blood?,0
densely,Does the image contain a gland of the endocrine system?,0
depiction,Is there a structure in the image that might produce bile?,1
depiction,Does the image show an organ that could be involved in detoxifying substances?,1
depiction,Is there something in the image that is connected to the gallbladder?,1
depiction,Does the image include a structure composed of lobules?,1
depiction,Is there a part of the digestive system visible in the image?,1
depiction,Is there an object in the image that produces insulin?,0
depiction,Does the image contain a structure that regulates neurotransmitters?,0
depiction,Is there something in the image that could be a spinal cord segment?,0
depiction,Is the object responsible for pumping blood?,0
depiction,Does the image contain a gland of the endocrine system?,0
deposition,Is there a structure in the image that might produce bile?,1
deposition,Does the image show an organ that could be involved in detoxifying substances?,1
deposition,Is there something in the image that is connected to the gallbladder?,1
deposition,Does the image include a structure composed of lobules?,1
deposition,Is there a part of the digestive system visible in the image?,1
deposition,Is there an object in the image that produces insulin?,0
deposition,Does the image contain a structure that regulates neurotransmitters?,0
deposition,Is there something in the image that could be a spinal cord segment?,0
deposition,Is the object responsible for pumping blood?,0
deposition,Does the image contain a gland of the endocrine system?,0
dermoepidermal junction,Is there a structure in the image that might produce bile?,1
dermoepidermal junction,Does the image show an organ that could be involved in detoxifying substances?,1
dermoepidermal junction,Is there something in the image that is connected to the gallbladder?,1
dermoepidermal junction,Does the image include a structure composed of lobules?,1
dermoepidermal junction,Is there a part of the digestive system visible in the image?,1
dermoepidermal junction,Is there an object in the image that produces insulin?,0
dermoepidermal junction,Does the image contain a structure that regulates neurotransmitters?,0
dermoepidermal junction,Is there something in the image that could be a spinal cord segment?,0
dermoepidermal junction,Is the object responsible for pumping blood?,0
dermoepidermal junction,Does the image contain a gland of the endocrine system?,0
dermoid,Is there a structure in the image that might produce bile?,1
dermoid,Does the image show an organ that could be involved in detoxifying substances?,1
dermoid,Is there something in the image that is connected to the gallbladder?,1
dermoid,Does the image include a structure composed of lobules?,1
dermoid,Is there a part of the digestive system visible in the image?,1
dermoid,Is there an object in the image that produces insulin?,0
dermoid,Does the image contain a structure that regulates neurotransmitters?,0
dermoid,Is there something in the image that could be a spinal cord segment?,0
dermoid,Is the object responsible for pumping blood?,0
dermoid,Does the image contain a gland of the endocrine system?,0
dermoid cyst,Is there a structure in the image that might produce bile?,1
dermoid cyst,Does the image show an organ that could be involved in detoxifying substances?,1
dermoid cyst,Is there something in the image that is connected to the gallbladder?,1
dermoid cyst,Does the image include a structure composed of lobules?,1
dermoid cyst,Is there a part of the digestive system visible in the image?,1
dermoid cyst,Is there an object in the image that produces insulin?,0
dermoid cyst,Does the image contain a structure that regulates neurotransmitters?,0
dermoid cyst,Is there something in the image that could be a spinal cord segment?,0
dermoid cyst,Is the object responsible for pumping blood?,0
dermoid cyst,Does the image contain a gland of the endocrine system?,0
desmoplasia,Is there a structure in the image that might produce bile?,1
desmoplasia,Does the image show an organ that could be involved in detoxifying substances?,1
desmoplasia,Is there something in the image that is connected to the gallbladder?,1
desmoplasia,Does the image include a structure composed of lobules?,1
desmoplasia,Is there a part of the digestive system visible in the image?,1
desmoplasia,Is there an object in the image that produces insulin?,0
desmoplasia,Does the image contain a structure that regulates neurotransmitters?,0
desmoplasia,Is there something in the image that could be a spinal cord segment?,0
desmoplasia,Is the object responsible for pumping blood?,0
desmoplasia,Does the image contain a gland of the endocrine system?,0
destroyed,Is there a structure in the image that might produce bile?,1
destroyed,Does the image show an organ that could be involved in detoxifying substances?,1
destroyed,Is there something in the image that is connected to the gallbladder?,1
destroyed,Does the image include a structure composed of lobules?,1
destroyed,Is there a part of the digestive system visible in the image?,1
destroyed,Is there an object in the image that produces insulin?,0
destroyed,Does the image contain a structure that regulates neurotransmitters?,0
destroyed,Is there something in the image that could be a spinal cord segment?,0
destroyed,Is the object responsible for pumping blood?,0
destroyed,Does the image contain a gland of the endocrine system?,0
detected,Is there a structure in the image that might produce bile?,1
detected,Does the image show an organ that could be involved in detoxifying substances?,1
detected,Is there something in the image that is connected to the gallbladder?,1
detected,Does the image include a structure composed of lobules?,1
detected,Is there a part of the digestive system visible in the image?,1
detected,Is there an object in the image that produces insulin?,0
detected,Does the image contain a structure that regulates neurotransmitters?,0
detected,Is there something in the image that could be a spinal cord segment?,0
detected,Is the object responsible for pumping blood?,0
detected,Does the image contain a gland of the endocrine system?,0
diabetes mellitus,Is there a structure in the image that might produce bile?,1
diabetes mellitus,Does the image show an organ that could be involved in detoxifying substances?,1
diabetes mellitus,Is there something in the image that is connected to the gallbladder?,1
diabetes mellitus,Does the image include a structure composed of lobules?,1
diabetes mellitus,Is there a part of the digestive system visible in the image?,1
diabetes mellitus,Is there an object in the image that produces insulin?,0
diabetes mellitus,Does the image contain a structure that regulates neurotransmitters?,0
diabetes mellitus,Is there something in the image that could be a spinal cord segment?,0
diabetes mellitus,Is the object responsible for pumping blood?,0
diabetes mellitus,Does the image contain a gland of the endocrine system?,0
diabetic,Is there a structure in the image that might produce bile?,1
diabetic,Does the image show an organ that could be involved in detoxifying substances?,1
diabetic,Is there something in the image that is connected to the gallbladder?,1
diabetic,Does the image include a structure composed of lobules?,1
diabetic,Is there a part of the digestive system visible in the image?,1
diabetic,Is there an object in the image that produces insulin?,0
diabetic,Does the image contain a structure that regulates neurotransmitters?,0
diabetic,Is there something in the image that could be a spinal cord segment?,0
diabetic,Is the object responsible for pumping blood?,0
diabetic,Does the image contain a gland of the endocrine system?,0
diagnosis,Is there a structure in the image that might produce bile?,1
diagnosis,Does the image show an organ that could be involved in detoxifying substances?,1
diagnosis,Is there something in the image that is connected to the gallbladder?,1
diagnosis,Does the image include a structure composed of lobules?,1
diagnosis,Is there a part of the digestive system visible in the image?,1
diagnosis,Is there an object in the image that produces insulin?,0
diagnosis,Does the image contain a structure that regulates neurotransmitters?,0
diagnosis,Is there something in the image that could be a spinal cord segment?,0
diagnosis,Is the object responsible for pumping blood?,0
diagnosis,Does the image contain a gland of the endocrine system?,0
diagnostic munro,Is there a structure in the image that might produce bile?,1
diagnostic munro,Does the image show an organ that could be involved in detoxifying substances?,1
diagnostic munro,Is there something in the image that is connected to the gallbladder?,1
diagnostic munro,Does the image include a structure composed of lobules?,1
diagnostic munro,Is there a part of the digestive system visible in the image?,1
diagnostic munro,Is there an object in the image that produces insulin?,0
diagnostic munro,Does the image contain a structure that regulates neurotransmitters?,0
diagnostic munro,Is there something in the image that could be a spinal cord segment?,0
diagnostic munro,Is the object responsible for pumping blood?,0
diagnostic munro,Does the image contain a gland of the endocrine system?,0
diastasis,Is there a structure in the image that might produce bile?,1
diastasis,Does the image show an organ that could be involved in detoxifying substances?,1
diastasis,Is there something in the image that is connected to the gallbladder?,1
diastasis,Does the image include a structure composed of lobules?,1
diastasis,Is there a part of the digestive system visible in the image?,1
diastasis,Is there an object in the image that produces insulin?,0
diastasis,Does the image contain a structure that regulates neurotransmitters?,0
diastasis,Is there something in the image that could be a spinal cord segment?,0
diastasis,Is the object responsible for pumping blood?,0
diastasis,Does the image contain a gland of the endocrine system?,0
diffuse,Is there a structure in the image that might produce bile?,1
diffuse,Does the image show an organ that could be involved in detoxifying substances?,1
diffuse,Is there something in the image that is connected to the gallbladder?,1
diffuse,Does the image include a structure composed of lobules?,1
diffuse,Is there a part of the digestive system visible in the image?,1
diffuse,Is there an object in the image that produces insulin?,0
diffuse,Does the image contain a structure that regulates neurotransmitters?,0
diffuse,Is there something in the image that could be a spinal cord segment?,0
diffuse,Is the object responsible for pumping blood?,0
diffuse,Does the image contain a gland of the endocrine system?,0
diffuse staining,Is there a structure in the image that might produce bile?,1
diffuse staining,Does the image show an organ that could be involved in detoxifying substances?,1
diffuse staining,Is there something in the image that is connected to the gallbladder?,1
diffuse staining,Does the image include a structure composed of lobules?,1
diffuse staining,Is there a part of the digestive system visible in the image?,1
diffuse staining,Is there an object in the image that produces insulin?,0
diffuse staining,Does the image contain a structure that regulates neurotransmitters?,0
diffuse staining,Is there something in the image that could be a spinal cord segment?,0
diffuse staining,Is the object responsible for pumping blood?,0
diffuse staining,Does the image contain a gland of the endocrine system?,0
diffusely infiltrating,Is there a structure in the image that might produce bile?,1
diffusely infiltrating,Does the image show an organ that could be involved in detoxifying substances?,1
diffusely infiltrating,Is there something in the image that is connected to the gallbladder?,1
diffusely infiltrating,Does the image include a structure composed of lobules?,1
diffusely infiltrating,Is there a part of the digestive system visible in the image?,1
diffusely infiltrating,Is there an object in the image that produces insulin?,0
diffusely infiltrating,Does the image contain a structure that regulates neurotransmitters?,0
diffusely infiltrating,Is there something in the image that could be a spinal cord segment?,0
diffusely infiltrating,Is the object responsible for pumping blood?,0
diffusely infiltrating,Does the image contain a gland of the endocrine system?,0
digital,Is there a structure in the image that might produce bile?,1
digital,Does the image show an organ that could be involved in detoxifying substances?,1
digital,Is there something in the image that is connected to the gallbladder?,1
digital,Does the image include a structure composed of lobules?,1
digital,Is there a part of the digestive system visible in the image?,1
digital,Is there an object in the image that produces insulin?,0
digital,Does the image contain a structure that regulates neurotransmitters?,0
digital,Is there something in the image that could be a spinal cord segment?,0
digital,Is the object responsible for pumping blood?,0
digital,Does the image contain a gland of the endocrine system?,0
dilantin,Is there a structure in the image that might produce bile?,1
dilantin,Does the image show an organ that could be involved in detoxifying substances?,1
dilantin,Is there something in the image that is connected to the gallbladder?,1
dilantin,Does the image include a structure composed of lobules?,1
dilantin,Is there a part of the digestive system visible in the image?,1
dilantin,Is there an object in the image that produces insulin?,0
dilantin,Does the image contain a structure that regulates neurotransmitters?,0
dilantin,Is there something in the image that could be a spinal cord segment?,0
dilantin,Is the object responsible for pumping blood?,0
dilantin,Does the image contain a gland of the endocrine system?,0
dilation,Is there a structure in the image that might produce bile?,1
dilation,Does the image show an organ that could be involved in detoxifying substances?,1
dilation,Is there something in the image that is connected to the gallbladder?,1
dilation,Does the image include a structure composed of lobules?,1
dilation,Is there a part of the digestive system visible in the image?,1
dilation,Is there an object in the image that produces insulin?,0
dilation,Does the image contain a structure that regulates neurotransmitters?,0
dilation,Is there something in the image that could be a spinal cord segment?,0
dilation,Is the object responsible for pumping blood?,0
dilation,Does the image contain a gland of the endocrine system?,0
disease,Is there a structure in the image that might produce bile?,1
disease,Does the image show an organ that could be involved in detoxifying substances?,1
disease,Is there something in the image that is connected to the gallbladder?,1
disease,Does the image include a structure composed of lobules?,1
disease,Is there a part of the digestive system visible in the image?,1
disease,Is there an object in the image that produces insulin?,0
disease,Does the image contain a structure that regulates neurotransmitters?,0
disease,Is there something in the image that could be a spinal cord segment?,0
disease,Is the object responsible for pumping blood?,0
disease,Does the image contain a gland of the endocrine system?,0
disorganized growth,Is there a structure in the image that might produce bile?,1
disorganized growth,Does the image show an organ that could be involved in detoxifying substances?,1
disorganized growth,Is there something in the image that is connected to the gallbladder?,1
disorganized growth,Does the image include a structure composed of lobules?,1
disorganized growth,Is there a part of the digestive system visible in the image?,1
disorganized growth,Is there an object in the image that produces insulin?,0
disorganized growth,Does the image contain a structure that regulates neurotransmitters?,0
disorganized growth,Is there something in the image that could be a spinal cord segment?,0
disorganized growth,Is the object responsible for pumping blood?,0
disorganized growth,Does the image contain a gland of the endocrine system?,0
dispersed,Is there a structure in the image that might produce bile?,1
dispersed,Does the image show an organ that could be involved in detoxifying substances?,1
dispersed,Is there something in the image that is connected to the gallbladder?,1
dispersed,Does the image include a structure composed of lobules?,1
dispersed,Is there a part of the digestive system visible in the image?,1
dispersed,Is there an object in the image that produces insulin?,0
dispersed,Does the image contain a structure that regulates neurotransmitters?,0
dispersed,Is there something in the image that could be a spinal cord segment?,0
dispersed,Is the object responsible for pumping blood?,0
dispersed,Does the image contain a gland of the endocrine system?,0
dissection,Is there a structure in the image that might produce bile?,1
dissection,Does the image show an organ that could be involved in detoxifying substances?,1
dissection,Is there something in the image that is connected to the gallbladder?,1
dissection,Does the image include a structure composed of lobules?,1
dissection,Is there a part of the digestive system visible in the image?,1
dissection,Is there an object in the image that produces insulin?,0
dissection,Does the image contain a structure that regulates neurotransmitters?,0
dissection,Is there something in the image that could be a spinal cord segment?,0
dissection,Is the object responsible for pumping blood?,0
dissection,Does the image contain a gland of the endocrine system?,0
disseminated,Is there a structure in the image that might produce bile?,1
disseminated,Does the image show an organ that could be involved in detoxifying substances?,1
disseminated,Is there something in the image that is connected to the gallbladder?,1
disseminated,Does the image include a structure composed of lobules?,1
disseminated,Is there a part of the digestive system visible in the image?,1
